From Date,To Date,PM2.5,SO2,Ozone,NO2
01-01-2014 00:00,02-01-2014 00:00,None,22.7,8.63,5.59
02-01-2014 00:00,03-01-2014 00:00,None,8.72,8.43,3.68
03-01-2014 00:00,04-01-2014 00:00,None,13.83,9.77,3.83
04-01-2014 00:00,05-01-2014 00:00,None,27.64,6.83,9.64
05-01-2014 00:00,06-01-2014 00:00,None,37.17,7.34,11.06
06-01-2014 00:00,07-01-2014 00:00,None,4.71,5.87,6.02
07-01-2014 00:00,08-01-2014 00:00,None,23.15,6.91,4.94
08-01-2014 00:00,09-01-2014 00:00,None,19.66,7.04,5.79
09-01-2014 00:00,10-01-2014 00:00,None,32.74,5.85,8.15
10-01-2014 00:00,11-01-2014 00:00,None,8.45,8.45,7.23
11-01-2014 00:00,12-01-2014 00:00,None,9.4,7.06,4.96
12-01-2014 00:00,13-01-2014 00:00,None,17.15,7.21,6.68
13-01-2014 00:00,14-01-2014 00:00,None,2.72,5.83,1.33
14-01-2014 00:00,15-01-2014 00:00,None,14.36,11.13,5.98
15-01-2014 00:00,16-01-2014 00:00,None,9.79,6.04,4.81
16-01-2014 00:00,17-01-2014 00:00,None,11.38,6,6.04
17-01-2014 00:00,18-01-2014 00:00,None,3.28,1.8,1.6
18-01-2014 00:00,19-01-2014 00:00,None,14.27,5.71,4.27
19-01-2014 00:00,20-01-2014 00:00,None,4.34,8.09,4.19
20-01-2014 00:00,21-01-2014 00:00,None,13.28,6.89,3.89
21-01-2014 00:00,22-01-2014 00:00,None,6.09,6.23,3.37
22-01-2014 00:00,23-01-2014 00:00,None,8.62,4.57,3.93
23-01-2014 00:00,24-01-2014 00:00,None,6.29,5.69,4.12
24-01-2014 00:00,25-01-2014 00:00,None,10.25,4.92,3.48
25-01-2014 00:00,26-01-2014 00:00,None,8.98,5.81,2.96
26-01-2014 00:00,27-01-2014 00:00,None,9.75,7.58,3
27-01-2014 00:00,28-01-2014 00:00,None,7.58,7.77,3.54
28-01-2014 00:00,29-01-2014 00:00,None,8.02,8.27,3.27
29-01-2014 00:00,30-01-2014 00:00,None,9.5,8.83,5.56
30-01-2014 00:00,31-01-2014 00:00,None,6.6,8.5,4.29
31-01-2014 00:00,01-02-2014 00:00,None,7.81,6.67,3.42
01-02-2014 00:00,02-02-2014 00:00,None,8.73,8.88,3.79
02-02-2014 00:00,03-02-2014 00:00,None,9.21,11.42,4.29
03-02-2014 00:00,04-02-2014 00:00,None,10.29,9.25,4.88
04-02-2014 00:00,05-02-2014 00:00,None,11,8.3,9.32
05-02-2014 00:00,06-02-2014 00:00,None,4.79,6.25,4.54
06-02-2014 00:00,07-02-2014 00:00,None,9.65,9.79,5.77
07-02-2014 00:00,08-02-2014 00:00,None,7.35,10.5,4.12
08-02-2014 00:00,09-02-2014 00:00,None,6.46,6.98,3.17
09-02-2014 00:00,10-02-2014 00:00,None,8.41,10.84,10.35
10-02-2014 00:00,11-02-2014 00:00,None,1.19,5.15,9.15
11-02-2014 00:00,12-02-2014 00:00,None,1.8,7.28,15.62
12-02-2014 00:00,13-02-2014 00:00,None,4.95,10.45,17.36
13-02-2014 00:00,14-02-2014 00:00,None,2.9,21.79,25.41
14-02-2014 00:00,15-02-2014 00:00,None,5.88,7.15,37.04
15-02-2014 00:00,16-02-2014 00:00,None,4.5,5.19,29.38
16-02-2014 00:00,17-02-2014 00:00,None,5.17,9.25,36.33
17-02-2014 00:00,18-02-2014 00:00,None,5.46,11.4,30.17
18-02-2014 00:00,19-02-2014 00:00,None,4.06,16.73,34.73
19-02-2014 00:00,20-02-2014 00:00,None,6.42,13.33,46.44
20-02-2014 00:00,21-02-2014 00:00,None,4.96,22.94,61.71
21-02-2014 00:00,22-02-2014 00:00,None,3.62,15.27,51.48
22-02-2014 00:00,23-02-2014 00:00,None,4.06,15.21,29.12
23-02-2014 00:00,24-02-2014 00:00,None,3.56,12.06,28
24-02-2014 00:00,25-02-2014 00:00,None,4.15,13.65,31.56
25-02-2014 00:00,26-02-2014 00:00,None,4.1,18.67,40.6
26-02-2014 00:00,27-02-2014 00:00,None,5.19,16.85,64.4
27-02-2014 00:00,28-02-2014 00:00,None,4.27,11.67,43.73
28-02-2014 00:00,01-03-2014 00:00,None,5.08,12.62,46.5
01-03-2014 00:00,02-03-2014 00:00,None,3.38,9.92,21.4
02-03-2014 00:00,03-03-2014 00:00,None,4.1,12.35,22.54
03-03-2014 00:00,04-03-2014 00:00,None,4.71,13.85,31.4
04-03-2014 00:00,05-03-2014 00:00,None,4.85,14.15,36.62
05-03-2014 00:00,06-03-2014 00:00,None,5.78,14.35,40.51
06-03-2014 00:00,07-03-2014 00:00,None,4.11,17.09,28.33
07-03-2014 00:00,08-03-2014 00:00,None,5.02,16.79,32.69
08-03-2014 00:00,09-03-2014 00:00,None,4.25,14.77,34.6
09-03-2014 00:00,10-03-2014 00:00,None,4.85,16.57,30.35
10-03-2014 00:00,11-03-2014 00:00,None,4.43,13.26,29.39
11-03-2014 00:00,12-03-2014 00:00,None,3.08,17.43,19.97
12-03-2014 00:00,13-03-2014 00:00,None,3.86,13.12,26.9
13-03-2014 00:00,14-03-2014 00:00,None,3.86,20.19,20.44
14-03-2014 00:00,15-03-2014 00:00,None,3.68,14.28,11.28
15-03-2014 00:00,16-03-2014 00:00,None,4.96,25.12,34.46
16-03-2014 00:00,17-03-2014 00:00,None,4.52,22.23,29.58
17-03-2014 00:00,18-03-2014 00:00,None,4.23,16.15,26.48
18-03-2014 00:00,19-03-2014 00:00,None,3.67,22.42,17.94
19-03-2014 00:00,20-03-2014 00:00,None,4.04,17.73,20.96
20-03-2014 00:00,21-03-2014 00:00,None,4.27,16.65,31.71
21-03-2014 00:00,22-03-2014 00:00,None,4.9,23.92,45.96
22-03-2014 00:00,23-03-2014 00:00,None,4.27,31.77,40.25
23-03-2014 00:00,24-03-2014 00:00,None,4.15,12.88,53.1
24-03-2014 00:00,25-03-2014 00:00,None,4.57,13.48,26.46
25-03-2014 00:00,26-03-2014 00:00,None,4.62,18.55,33.3
26-03-2014 00:00,27-03-2014 00:00,None,4,22.3,37.51
27-03-2014 00:00,28-03-2014 00:00,None,4,12.4,24.66
28-03-2014 00:00,29-03-2014 00:00,None,4.72,22.26,27.7
29-03-2014 00:00,30-03-2014 00:00,None,4.64,9.77,24.47
30-03-2014 00:00,31-03-2014 00:00,None,4.13,13.38,21.04
31-03-2014 00:00,01-04-2014 00:00,None,5.09,18.17,27.26
01-04-2014 00:00,02-04-2014 00:00,None,5.47,18.49,31.91
02-04-2014 00:00,03-04-2014 00:00,None,5.51,24.38,41.56
03-04-2014 00:00,04-04-2014 00:00,None,4.21,18.87,24.6
04-04-2014 00:00,05-04-2014 00:00,None,4.03,16.68,22.87
05-04-2014 00:00,06-04-2014 00:00,None,3.92,12.27,28.19
06-04-2014 00:00,07-04-2014 00:00,None,4.75,13.73,30.92
07-04-2014 00:00,08-04-2014 00:00,None,4.06,15.65,23.08
08-04-2014 00:00,09-04-2014 00:00,None,3.57,21.34,17.77
09-04-2014 00:00,10-04-2014 00:00,None,3.45,25.51,25.89
10-04-2014 00:00,11-04-2014 00:00,None,5.65,25,42.61
11-04-2014 00:00,12-04-2014 00:00,None,2.65,30.69,11.38
12-04-2014 00:00,13-04-2014 00:00,None,4.55,31.04,35.55
13-04-2014 00:00,14-04-2014 00:00,None,4,21.68,34.61
14-04-2014 00:00,15-04-2014 00:00,None,4.08,26.62,31.9
15-04-2014 00:00,16-04-2014 00:00,None,4.46,31.04,48.65
16-04-2014 00:00,17-04-2014 00:00,None,4.06,16.58,45.81
17-04-2014 00:00,18-04-2014 00:00,None,4.31,17.15,45.52
18-04-2014 00:00,19-04-2014 00:00,None,4.3,12.94,29.98
19-04-2014 00:00,20-04-2014 00:00,None,4.12,18.98,26.65
20-04-2014 00:00,21-04-2014 00:00,None,4.21,19.08,47.67
21-04-2014 00:00,22-04-2014 00:00,None,4.79,21.77,38.75
22-04-2014 00:00,23-04-2014 00:00,None,4.65,25.83,33.28
23-04-2014 00:00,24-04-2014 00:00,None,5.27,22,25.82
24-04-2014 00:00,25-04-2014 00:00,None,3.94,17.94,39.27
25-04-2014 00:00,26-04-2014 00:00,None,5.48,18.06,39.96
26-04-2014 00:00,27-04-2014 00:00,None,4.38,15.71,35.77
27-04-2014 00:00,28-04-2014 00:00,None,6.29,21.69,31.6
28-04-2014 00:00,29-04-2014 00:00,None,4.15,22.54,35.79
29-04-2014 00:00,30-04-2014 00:00,None,4.46,23.77,40.71
30-04-2014 00:00,01-05-2014 00:00,None,4.4,26.69,46.15
01-05-2014 00:00,02-05-2014 00:00,None,6,19.4,42.69
02-05-2014 00:00,03-05-2014 00:00,None,3.88,17.56,32.92
03-05-2014 00:00,04-05-2014 00:00,None,4.49,32.93,19.95
04-05-2014 00:00,05-05-2014 00:00,None,9,76,48
05-05-2014 00:00,06-05-2014 00:00,None,2.48,22.19,8.22
