country,continent,date,day,month,year,cases,deaths,country_code,population
Afghanistan,Asia,2020-04-12,12,4,2020,34,3,AFG,37172386.0
Albania,Europe,2020-04-12,12,4,2020,17,0,ALB,2866376.0
Algeria,Africa,2020-04-12,12,4,2020,64,19,DZA,42228429.0
Andorra,Europe,2020-04-12,12,4,2020,21,2,AND,77006.0
Angola,Africa,2020-04-12,12,4,2020,0,0,AGO,30809762.0
Anguilla,America,2020-04-12,12,4,2020,0,0,,
Antigua_and_Barbuda,America,2020-04-12,12,4,2020,0,0,ATG,96286.0
Argentina,America,2020-04-12,12,4,2020,162,7,ARG,44494502.0
Armenia,Europe,2020-04-12,12,4,2020,30,2,ARM,2951776.0
Aruba,America,2020-04-12,12,4,2020,6,0,ABW,105845.0
Australia,Oceania,2020-04-12,12,4,2020,51,3,AUS,24992369.0
Austria,Europe,2020-04-12,12,4,2020,247,18,AUT,8847037.0
Azerbaijan,Europe,2020-04-12,12,4,2020,67,1,AZE,9942334.0
Bahamas,America,2020-04-12,12,4,2020,4,0,BHS,385640.0
Bahrain,Asia,2020-04-12,12,4,2020,42,0,BHR,1569439.0
Bangladesh,Asia,2020-04-12,12,4,2020,58,3,BGD,161356039.0
Barbados,America,2020-04-12,12,4,2020,1,0,BRB,286641.0
Belarus,Europe,2020-04-12,12,4,2020,245,4,BLR,9485386.0
Belgium,Europe,2020-04-12,12,4,2020,1351,327,BEL,11422068.0
Belize,America,2020-04-12,12,4,2020,3,0,BLZ,383071.0
Benin,Africa,2020-04-12,12,4,2020,0,0,BEN,11485048.0
Bermuda,America,2020-04-12,12,4,2020,2,0,BMU,63968.0
Bhutan,Asia,2020-04-12,12,4,2020,0,0,BTN,754394.0
Bolivia,America,2020-04-12,12,4,2020,24,4,BOL,11353142.0
"Bonaire, Saint Eustatius and Saba",America,2020-04-12,12,4,2020,0,0,,
Bosnia_and_Herzegovina,Europe,2020-04-12,12,4,2020,47,0,BIH,3323929.0
Botswana,Africa,2020-04-12,12,4,2020,0,0,BWA,2254126.0
Brazil,America,2020-04-12,12,4,2020,1089,68,BRA,209469333.0
British_Virgin_Islands,America,2020-04-12,12,4,2020,0,0,VGB,29802.0
Brunei_Darussalam,Asia,2020-04-12,12,4,2020,0,0,BRN,428962.0
Bulgaria,Europe,2020-04-12,12,4,2020,26,3,BGR,7024216.0
Burkina_Faso,Africa,2020-04-12,12,4,2020,36,1,BFA,19751535.0
Burundi,Africa,2020-04-12,12,4,2020,2,0,BDI,11175378.0
Cambodia,Asia,2020-04-12,12,4,2020,2,0,KHM,16249798.0
Cameroon,Africa,2020-04-12,12,4,2020,17,1,CMR,25216237.0
Canada,America,2020-04-12,12,4,2020,1168,84,CAN,37058856.0
Cape_Verde,Africa,2020-04-12,12,4,2020,1,0,CPV,543767.0
Cases_on_an_international_conveyance_Japan,Other,2020-01-18,18,1,2020,0,0,,3000.0
Cayman_Islands,America,2020-04-12,12,4,2020,8,0,CYM,64174.0
Central_African_Republic,Africa,2020-04-12,12,4,2020,0,0,CAF,4666377.0
Chad,Africa,2020-04-12,12,4,2020,0,0,TCD,15477751.0
Chile,America,2020-04-12,12,4,2020,426,8,CHL,18729160.0
China,Asia,2020-04-12,12,4,2020,93,0,CHN,1392730000.0
Colombia,America,2020-04-12,12,4,2020,236,20,COL,49648685.0
Congo,Africa,2020-04-12,12,4,2020,0,0,COG,5244363.0
Costa_Rica,America,2020-04-12,12,4,2020,19,0,CRI,4999441.0
Cote_dIvoire,Africa,2020-04-12,12,4,2020,53,1,CIV,25069229.0
Croatia,Europe,2020-04-12,12,4,2020,39,0,HRV,4089400.0
Cuba,America,2020-04-12,12,4,2020,56,1,CUB,11338138.0
Cura̤ao,America,2020-04-12,12,4,2020,0,0,CUW,159849.0
Cyprus,Europe,2020-04-12,12,4,2020,21,0,CYP,1189265.0
Czechia,Europe,2020-04-12,12,4,2020,170,10,CZE,10625695.0
Democratic_Republic_of_the_Congo,Africa,2020-04-12,12,4,2020,11,0,COD,84068091.0
Denmark,Europe,2020-04-12,12,4,2020,177,13,DNK,5797446.0
Djibouti,Africa,2020-04-12,12,4,2020,37,1,DJI,958920.0
Dominica,America,2020-04-12,12,4,2020,0,0,DMA,71625.0
Dominican_Republic,America,2020-04-12,12,4,2020,139,9,DOM,10627165.0
Ecuador,America,2020-04-12,12,4,2020,96,18,ECU,17084357.0
Egypt,Africa,2020-04-12,12,4,2020,145,11,EGY,98423595.0
El_Salvador,America,2020-04-12,12,4,2020,0,0,SLV,6420744.0
